UGAU5451257: 45.432.058/6423-86<->58.505.242/5161-22
RZFU3933356: 56.921.836/1003-76<->16.043.037/0585-75
PAJZ8746438: 45.465.327/9697-36<->39.491.598/0743-40
UBEJ1394366: 28.100.207/8683-02<->03.853.617/7123-29
FQFU0727040: 08.383.279/0209-61<->82.792.362/3001-01
LTWZ1526293: 72.050.321/3946-69<->61.524.843/6646-23
SZWJ5084936: 42.569.552/5489-90<->53.626.076/2175-17
WBRZ9193558: 33.954.896/2835-92<->51.964.230/9137-56
ZZTU8057246: 52.515.815/3158-48<->86.204.738/0083-37
YLKZ9428451: 74.587.639/0413-43<->54.194.390/2882-77
TVOZ4085860: 35.317.653/5857-45<->00.118.689/8229-14
IKPJ6305721: 46.820.166/6446-56<->03.946.768/6017-55
BUOZ3923280: 58.910.215/3625-44<->19.832.749/9090-86
FRUZ1773375: 26.788.499/8619-04<->39.363.446/7888-70
KKWJ7983715: 97.514.393/9039-08<->60.418.347/0367-57
MAFU9646505: 29.429.280/8915-14<->58.904.539/4358-12
QHEU9654139: 78.141.235/9715-50<->53.530.712/0771-97
ZBVU7081941: 78.789.546/9080-80<->20.372.862/1817-96
EBXZ1632008: 15.844.067/0043-98<->99.168.102/9407-19
KMAJ2620016: 28.127.132/0956-19<->65.935.224/4487-04
LBWZ6084218: 55.872.192/7074-82<->79.916.785/9884-26
MWCZ7815778: 80.451.252/0313-40<->24.099.019/7202-22
KXGZ1065423: 02.721.891/2264-90<->44.285.185/6804-12
FRVU8993634: 21.035.731/2280-81<->46.445.303/4020-83
RDUU0436014: 19.566.755/0893-53<->48.690.028/1219-12
UVVJ7911918: 43.531.013/2141-51<->76.645.775/4158-05
KPXU0037209: 31.077.653/6807-36<->01.740.224/2538-60
HAHZ9903841: 12.096.667/1122-42<->54.898.312/2920-05
UOLZ5016410: 46.934.708/0756-87<->56.342.561/6052-44
QOXU9921589: 33.696.373/1117-55<->02.104.193/8086-64
KYDJ5768666: 69.573.150/7219-22<->97.095.075/5272-06
DUOZ3077539: 23.917.397/3009-69<->07.991.288/2190-04
KCWU8286127: 93.593.127/6911-88<->47.922.016/7873-39
EPLJ3415036: 74.041.386/7792-33<->76.303.301/7656-49
FIYJ0441276: 63.255.907/4234-95<->17.259.710/6048-49
WQQU7984962: 37.801.107/0954-84<->73.057.262/3903-83
LIQU0073582: 82.821.568/5074-67<->07.448.958/8698-87
WLDZ5171391: 35.928.939/1422-32<->62.270.740/8169-48
QLPZ0815949: 51.445.871/6729-64<->82.153.351/7784-40
GXHZ0627610: 39.796.019/6422-45<->92.000.026/3084-88
GKUU4928917: 61.352.918/6369-01<->07.813.164/1578-68
AIYU7722362: 48.105.994/0225-40<->61.792.011/3380-27
SAFJ1587149: 74.068.233/9443-70<->31.925.939/1299-18
WKEJ0248438: 41.626.388/9629-56<->19.622.006/1732-67
XRJZ9656774: 34.585.502/6532-75<->36.297.922/3818-01
QNQZ7294498: 21.512.777/0446-41<->32.973.130/2460-70
NKCU6620773: 58.458.177/9565-21<->31.041.803/6293-32
WCDU2011105: 46.768.470/9739-91<->92.606.262/2880-40
XYPJ7443072: 57.024.106/5694-48<->54.393.164/7350-05
GAOJ1896543: 22.453.456/3182-30<->51.477.833/8096-34
HRBJ9599704: 09.803.267/9851-05<->92.572.553/4607-17
ICVU2037424: 33.417.581/1113-65<->48.346.381/0315-66
RWKZ6762639: 25.223.735/2209-00<->76.472.838/8265-25
EVHZ3275180: 70.307.491/8585-86<->65.989.471/8166-44
ZZAJ8873236: 24.146.888/0004-45<->21.709.015/9557-09
EQCJ3586998: 34.372.439/6410-58<->55.316.568/6635-54
GSNJ4996434: 08.923.985/5215-95<->62.329.506/0037-93
KJPJ6402190: 13.019.294/3180-32<->40.759.151/9131-16
RCKJ9331988: 72.231.158/8201-11<->31.363.034/5448-80
TYZJ6743290: 86.832.508/8596-36<->27.639.518/4364-95
PNXU1859515: 81.129.795/6049-82<->77.310.190/1212-03
UJBZ6269573: 97.708.152/9457-38<->73.648.690/3688-29
HVYJ8250865: 18.548.954/5381-19<->86.214.826/9313-49
XWKU2130049: 33.873.648/5425-58<->08.941.372/2590-65
WXNZ8014687: 17.973.729/6522-42<->89.029.596/0120-02
ZXCZ5903036: 04.860.836/5457-21<->62.285.342/6258-10
VRXZ1468877: 85.137.266/3495-92<->45.708.477/0979-36
YUFJ5596158: 79.887.956/2250-49<->81.842.618/3513-79
LXTJ1193593: 20.849.462/2515-82<->33.737.921/3597-52
KSPU0036323: 27.494.632/5883-56<->03.847.413/2408-78
JFYZ0679527: 92.732.687/6622-52<->00.534.179/3069-95
DXZU2827605: 12.683.217/7754-31<->95.885.592/6939-08
XHGU1012636: 95.934.489/2895-14<->28.578.229/4998-56
FAHJ8256617: 79.726.433/2698-01<->38.707.613/5149-31
AWCZ9744206: 63.325.508/9797-65<->41.398.994/3835-12
BAPJ4819727: 91.664.881/0380-22<->51.180.497/3988-94
OUFJ2708709: 62.022.246/8369-30<->34.068.949/2075-91
KPQJ6157921: 07.608.094/0623-77<->13.126.980/4013-76
NBJZ2632038: 44.104.883/6822-63<->58.935.088/5219-17
AEWU9675162: 77.991.545/1333-41<->48.508.672/8074-68
DNVJ8200998: 67.197.492/3481-63<->10.960.591/9703-36
EHUZ1756089: 04.760.718/7593-25<->05.892.653/4174-37
ANIJ4879926: 42.035.102/9716-74<->93.238.413/3646-90
BTTU6801400: 90.400.734/1855-54<->99.411.581/6104-08
QUIJ1236987: 69.570.324/0964-63<->97.817.433/5950-28
JBOZ7194401: 82.210.486/1386-89<->03.006.355/9485-87
KWOZ5167633: 99.483.266/1458-98<->07.855.543/2356-06
EWCJ3440389: 54.092.242/8299-77<->30.502.017/3933-76
OCWU6098113: 37.313.380/3917-23<->85.908.796/9149-18
LQOJ9129282: 97.893.773/5212-27<->25.053.975/6461-00
TOTU4213125: 63.328.979/7566-11<->19.354.923/6734-03
XKVZ5617826: 78.929.444/8251-20<->80.568.506/9853-79
QZRJ0283253: 42.965.106/6513-34<->52.074.482/6460-09
AFBJ1772185: 61.870.002/0263-81<->08.184.695/4285-64
ABIU9893839: 31.867.854/0984-53<->74.103.040/9172-85
OPBZ4863224: 07.041.120/9656-94<->50.203.575/9277-60
SPNJ7895545: 05.601.644/0481-70<->17.741.225/4802-34
GTEU8012954: 18.117.144/5024-38<->64.164.078/9611-43
ZEQZ6627913: 59.303.658/8843-86<->23.568.057/9791-04
JEKZ2575374: 26.905.729/8769-34<->66.807.973/4988-06
FLBU6627352: 06.469.032/8947-67<->45.473.894/7994-91
BAEU8975322: 48.706.324/3256-27<->61.918.287/4999-96
UBQZ7687419: 25.551.711/1280-25<->43.383.776/2240-65
DAWZ5617522: 53.857.967/1523-62<->13.739.832/5130-86
UFWJ6166676: 56.252.268/0268-58<->19.551.895/5766-60
ICZU2444008: 51.272.264/8769-65<->50.220.492/2316-70
BOXJ4700503: 82.132.527/4309-84<->80.083.698/2904-55
JBKZ8667967: 48.527.729/2958-85<->92.013.913/6645-00
OMEJ3083816: 66.782.955/2386-96<->77.986.020/3989-96
ZAEU6477325: 27.727.924/2839-94<->54.893.501/4841-65
OWOJ4003001: 26.152.854/0552-54<->73.047.778/3099-82
SRZZ5423296: 99.259.853/6544-86<->70.735.486/7588-39
NNIZ2329167: 27.843.044/1652-96<->47.810.241/9565-19
VROJ5398922: 43.398.133/8197-01<->74.145.783/8534-60
EFXZ9514931: 21.057.245/1976-55<->52.405.488/6463-13
NJPU3768452: 93.770.360/7003-83<->78.574.256/8092-72
LKPU2237599: 68.810.316/7193-35<->25.534.524/8388-81
XQDU1166048: 81.875.473/4215-27<->08.829.973/2143-30
GAFJ7968484: 20.618.623/0330-04<->42.545.170/2174-96
TBQZ0254242: 37.997.369/4923-10<->42.452.428/9522-20
GXJJ8147517: 37.633.181/5509-29<->04.915.916/6132-68
TNPJ1466982: 32.747.469/4140-33<->34.639.643/6324-38
TRAU3193035: 48.687.279/6714-21<->31.250.174/0677-41
BNAJ8574852: 06.680.658/2901-46<->95.925.273/5870-74
MIZU2577134: 96.129.506/0136-67<->27.451.346/9384-63
EKWJ7105062: 91.925.997/7148-19<->63.065.659/4801-45
QMZU9507355: 70.055.548/7603-80<->95.120.604/8989-20
RHLJ9445443: 10.332.658/7836-41<->22.238.559/5395-10
NTHU9482269: 86.228.274/6930-19<->47.394.527/5415-46
IABZ8357311: 81.042.349/2249-74<->63.662.670/1015-20
ARGJ4763571: 29.670.875/5558-24<->25.806.066/2695-79
TQUJ2684841: 68.237.545/0931-63<->99.192.655/3442-53
YAFU3829532: 37.267.910/5364-82<->54.276.188/7179-72
PYNU2453925: 63.295.127/7252-59<->24.151.106/3319-97
KTRU0883660: 02.330.692/9468-13<->50.905.671/0398-70
BNTU9408990: 69.971.427/2492-60<->28.780.987/5397-60
TQDU4776260: 28.966.380/8655-24<->32.366.267/3185-35
YVDZ8843465: 94.564.366/1533-53<->69.615.343/5870-40
ZGTZ5987580: 45.203.345/9404-98<->84.129.835/6894-54
DTJZ3119822: 67.972.370/4235-76<->60.120.809/3402-31
TUOU9983280: 85.915.325/5507-33<->18.697.563/7253-06
IBFZ8967726: 64.792.818/0100-40<->56.283.995/5876-68
JYLZ8100549: 24.816.414/0212-19<->75.217.546/7769-06
ORIJ5598261: 73.356.217/3947-02<->00.591.212/5785-56
HCEU0002161: 60.653.841/9832-96<->11.765.929/4888-72
UEGZ0916817: 04.775.254/6490-28<->25.949.804/1076-97
QLTZ5061490: 51.848.962/3458-86<->99.854.759/0287-51
JXLJ0927342: 64.482.796/2337-25<->06.795.140/4902-19
VGXU6809440: 40.940.587/7672-89<->53.403.581/5333-62
YNMU9771725: 79.657.145/6733-70<->26.932.605/2758-99
RETJ5839682: 71.083.065/3078-56<->75.149.745/8912-86
OSJZ5672910: 66.204.758/0974-63<->43.148.798/5688-51
NYUU9310105: 50.277.090/4376-43<->54.808.532/0394-50
LYMU7857830: 19.925.736/0714-87<->62.995.038/3456-16
UAXJ0918058: 15.281.453/3905-34<->78.921.802/9150-31
OPLJ5063524: 39.243.798/6410-52<->61.348.781/3786-73
MYCJ6112256: 20.667.207/0098-75<->87.171.301/6530-18
DFHJ1223041: 81.821.006/4624-69<->46.425.839/0970-91
REAZ6142834: 82.826.642/5143-74<->34.990.757/6916-59
ZWMZ2948165: 41.717.480/4951-34<->41.063.395/6377-04
INGJ2736466: 41.217.548/6981-22<->34.489.299/3667-72
ZUHJ6963982: 72.557.694/3858-82<->43.595.851/2177-89
EJBU2253058: 97.268.406/1678-06<->16.858.209/6235-67
VEEU7669067: 50.460.021/6288-35<->87.941.244/5814-93
HUBZ9862779: 93.288.306/7949-62<->70.190.886/6551-66
OWZJ9326067: 82.996.087/7041-85<->53.094.261/2586-37
BJFZ3549457: 28.812.014/9005-08<->14.781.263/2557-03
DEEU2546434: 91.799.172/8760-84<->43.618.168/7371-20
ROWJ7317162: 68.750.276/1137-23<->18.968.012/5669-66
DIOZ6112194: 57.509.739/0526-07<->28.226.330/4907-65
GPZZ3501215: 69.949.594/5799-48<->64.905.948/6830-02
EIGZ0890030: 75.739.592/7244-27<->82.504.751/0179-28
JWMU1757776: 98.613.028/1713-91<->78.649.036/2467-52
YQAZ0872115: 76.497.445/4411-46<->71.517.599/7221-34
DPZJ3655299: 93.583.099/5125-24<->13.406.319/8432-59
GMIU3496390: 68.603.343/4429-28<->13.375.872/9818-09
POIZ2394632: 19.548.509/6137-21<->68.754.029/8641-83
TSAJ3250621: 48.418.485/2587-10<->99.909.996/2154-31
ZVJU7532857: 39.733.300/5063-98<->00.329.379/7853-42
CGRJ9652304: 89.120.702/9268-64<->50.605.178/9807-22
WGLZ4611061: 46.885.323/3209-75<->39.789.751/6505-45
KUTU0402989: 42.289.606/4301-59<->27.039.473/9134-15
GNYZ4664905: 42.452.567/6461-01<->15.221.398/5794-87
XCQJ2655172: 10.699.196/4291-76<->75.295.528/7774-40
YQXU7747007: 00.284.014/3798-92<->46.204.844/5207-46
NWRU7212647: 29.903.653/4539-69<->71.840.609/5527-38
EKIU2609864: 89.958.162/6617-75<->01.257.690/9748-53
KTLU2702913: 77.508.709/5292-28<->02.133.233/5945-14
UOFZ4270599: 25.076.583/6542-64<->32.874.334/5887-30
EWVJ8724169: 19.413.719/5715-57<->33.862.240/4467-19
OZJZ1535348: 28.956.454/3759-47<->49.001.454/9773-40
ZYMU0597066: 13.118.451/3917-91<->71.008.878/8617-40
CPPZ2482543: 55.264.197/9178-04<->54.875.054/8878-80
DVLJ4365301: 80.959.900/6040-89<->37.511.135/5981-78
KWLZ0693570: 60.920.547/2521-43<->33.382.806/1903-61
BUDJ0803668: 46.705.839/7657-73<->45.351.000/0921-86
XDZZ0644949: 75.111.457/3009-37<->85.976.227/4929-49
TJAU1481583: 64.191.672/1745-48<->60.071.286/3611-59
SCMJ7181645: 07.242.792/0083-48<->03.956.295/9898-64
XRAZ7946955: 37.069.991/6724-84<->09.953.937/1234-94
UNFJ4196732: 39.900.743/0921-30<->56.764.774/5329-62
NLUZ0913706: 02.631.930/4551-20<->13.551.502/1209-40
NQAJ2395535: 92.449.137/9324-03<->80.290.606/4396-94
BVQJ4128233: 71.744.170/0392-40<->87.895.715/4560-96
GYUJ0001207: 66.683.423/8354-03<->08.446.059/5452-41
HUOU0027746: 55.224.418/7650-92<->18.163.657/3464-92
MKMU6106468: 30.641.535/5940-48<->49.661.037/8353-01
DLOJ0735491: 94.768.360/2090-82<->10.230.107/6669-11
NSRU0424473: 41.833.169/1792-34<->23.533.972/8643-53
ZFOJ7770905: 38.729.176/4577-72<->09.318.810/3810-81
GSAU3598778: 63.619.430/7410-81<->26.616.215/5570-19
KRFZ7198474: 26.280.907/0852-32<->47.487.275/0903-34
ZXEJ5508623: 17.866.640/6392-07<->91.309.752/6558-91
TKEJ9560232: 38.357.597/1236-44<->28.171.526/6755-42
LGJZ9516135: 60.982.098/6281-20<->00.026.898/4646-38
ZHXZ8953209: 22.498.267/6238-00<->60.106.656/4639-33
YEKJ5544019: 83.161.347/7874-42<->67.014.347/5781-32
WKSZ9183129: 91.479.157/2196-20<->44.861.132/5534-19
DPAZ8634465: 93.969.479/0440-00<->01.015.214/7775-90
WRTU9628000: 56.169.766/2055-04<->07.728.354/8030-86
UEIJ7216807: 07.737.246/4895-65<->60.326.096/0041-04
FWMZ5769560: 33.768.788/3747-73<->70.964.599/7411-50
VZPJ6304128: 87.958.671/9577-11<->99.132.140/4567-77
KYEU6274561: 32.018.346/3038-16<->46.659.546/9165-24
JHLZ9635710: 99.735.084/7253-89<->10.192.894/3932-16
HUIZ0449909: 81.719.667/8477-23<->71.791.616/4025-33
LIBJ7532710: 40.874.844/9242-03<->26.129.765/6710-68
VMWJ5041187: 00.088.049/7830-44<->13.083.224/1145-62
LVCJ2253462: 87.417.082/3529-02<->53.346.032/5492-02
ERMZ5696686: 07.230.459/0472-81<->90.563.472/6126-03
AFMZ1863113: 51.181.342/1150-53<->69.569.419/1231-95
PDDU6780487: 81.592.827/2379-63<->21.433.864/9509-33
XMQU0037285: 94.363.574/2236-31<->93.275.089/8916-97
TPJZ0115638: 10.911.590/5284-53<->62.903.931/0567-39
SDFU5759664: 90.719.102/5195-20<->36.766.001/1903-61
RKPU5633172: 59.646.289/3701-07<->87.671.147/2755-73
JYXU5565003: 09.073.661/5913-11<->86.029.125/1867-65
CTQJ9594390: 38.486.204/0274-72<->20.731.484/0143-61
KMGZ6032353: 27.042.613/7015-62<->48.060.111/2122-31
NBMZ1733353: 17.457.745/7892-31<->24.517.450/0031-52
NAGZ4756071: 62.302.478/8514-28<->84.037.003/2811-36
HUTU0996794: 11.688.420/1576-03<->72.108.877/5356-07
ENBZ8170080: 02.743.333/5401-51<->31.929.064/9623-60
XODZ7503586: 22.617.300/5307-96<->98.538.167/8098-35
JNMZ5106920: 19057kg (186%)
TOFJ2714075: 18849kg (177%)
TVTU5583949: 18079kg (174%)
OCTU2045789: 18630kg (170%)
ICNJ6996270: 17451kg (169%)
RSHZ7527120: 18140kg (167%)
WDVZ5861821: 17721kg (167%)
WHWU3924091: 18622kg (165%)
VEGZ3847308: 17271kg (164%)
QUFZ2078405: 18168kg (162%)
YZXZ6510566: 17492kg (158%)
BPHU8456669: 16454kg (156%)
YOWJ6947103: 17401kg (156%)
MKIU5099500: 16065kg (151%)
KSKJ7351054: 16291kg (151%)
MPPJ5663129: 15583kg (150%)
JFCZ8703376: 15393kg (146%)
LCOJ1350360: 17050kg (145%)
UAMZ7923576: 17720kg (145%)
NTGZ5779584: 16898kg (144%)
WKWZ9871067: 16435kg (143%)
VSTJ5114512: 16380kg (142%)
PLFZ7288586: 15317kg (142%)
TDDU3934135: 14168kg (141%)
DCVZ2087368: 15985kg (140%)
VSDU0176617: 16508kg (140%)
RBOZ0637219: 16112kg (138%)
VLGJ8291568: 13966kg (137%)
ACSU7711882: 15211kg (137%)
RFWJ8145128: 15339kg (136%)
GDEU9488830: 15315kg (135%)
RYBU5898922: 15996kg (134%)
PEQJ5472591: 15397kg (133%)
NRYZ5279455: 16186kg (133%)
YQVZ3476116: 14668kg (130%)
ZZRU0936757: 15124kg (130%)
PVNU0414823: 16452kg (130%)
BZWU5994951: 14026kg (129%)
GCFU6888351: 13452kg (129%)
UHRZ4974993: 14149kg (129%)
TBIJ1185307: 16091kg (127%)
NJGU6403788: 14847kg (127%)
SBDU0583597: 16402kg (125%)
FUOU9352088: 14197kg (125%)
IBXU0120789: 14702kg (124%)
LJGJ2866722: 12791kg (124%)
TBXU9846488: 15945kg (124%)
BGEJ5418611: 15488kg (123%)
FDUZ9441139: 14301kg (123%)
SBGZ2884139: 13753kg (123%)
RHAU9456887: 16468kg (122%)
JCWU6769216: 12777kg (122%)
AWUU3923787: 12154kg (121%)
HOZJ4819752: 14776kg (120%)
VICJ3675601: 15173kg (120%)
COQJ2043906: 14237kg (119%)
TVCJ4401100: 16238kg (119%)
UROU3735446: 15001kg (117%)
QLSJ4953241: 13626kg (116%)
JBJJ5820163: 14650kg (116%)
LQFZ9088539: 11808kg (115%)
SLUU7093902: 13736kg (115%)
FOIU0620401: 11500kg (115%)
FQNZ0551289: 13351kg (115%)
OGPJ2515952: 14535kg (114%)
DSIJ8214965: 15502kg (113%)
LARU4444643: 13721kg (113%)
TARZ2431670: 12520kg (113%)
RZKJ2254337: 14250kg (113%)
LMWU6098713: 13039kg (113%)
UIBJ0423411: 13848kg (112%)
UVJU5089278: 15107kg (112%)
SZLZ0084139: 11976kg (111%)
DJQJ5811831: 12540kg (110%)
DFNJ3387327: 13078kg (108%)
TMZZ9114122: 13267kg (107%)
WMNJ1241733: 12512kg (107%)
CPEU0916959: 11099kg (107%)
QTZU6766777: 12814kg (107%)
BGFJ0696852: 14434kg (106%)
LUSU5327702: 11653kg (106%)
PWJJ8546717: 13013kg (105%)
IPSZ3156921: 14275kg (105%)
YEXZ5250848: 15176kg (105%)
ULMJ9468972: 14964kg (105%)
QKKJ3373527: 12505kg (105%)
ECLZ2369488: 11544kg (104%)
FWUU4896657: 12622kg (104%)
XFCZ7773610: 14867kg (104%)
OPVU3641176: 11746kg (103%)
WHIJ8045534: 10970kg (103%)
AIDU4884361: 13359kg (103%)
HUCU2840580: 13040kg (103%)
JTYJ0607734: 14625kg (102%)
VOEU8901768: 11778kg (101%)
CQPJ5357036: 14252kg (100%)
AKNJ1961110: 13311kg (100%)
CNNJ3727718: 13640kg (99%)
ZLXU6307021: 12013kg (99%)
NVSU2193432: 13171kg (99%)
CZPU8535088: 13938kg (98%)
ERMU6286287: 12775kg (98%)
GUVZ1303737: 11075kg (98%)
XXWU2474118: 13863kg (98%)
TWIZ4531388: 13227kg (97%)
LYJU4487212: 11727kg (96%)
IKLU6591237: 14391kg (96%)
KWFU2115756: 10289kg (96%)
WYUZ5882843: 13232kg (96%)
EMVU4016110: 13147kg (95%)
EGHZ4390123: 9742kg (95%)
PWOJ7768743: 14040kg (95%)
XJCZ2225082: 11132kg (95%)
BHMZ5972637: 14389kg (95%)
WIMZ3897997: 14468kg (95%)
OEHJ3307719: 13030kg (95%)
ATAU4324724: 12015kg (94%)
HXPU9675436: 11490kg (94%)
KNVJ6607739: 13670kg (93%)
RMJZ1970025: 12765kg (93%)
QPOZ3364913: 14443kg (93%)
DMTZ2686517: 10966kg (93%)
ZJMZ1635574: 9930kg (92%)
WTDU9467498: 13494kg (92%)
GWVZ7024552: 9297kg (92%)
UZVZ5969406: 10029kg (92%)
YVOZ1109031: 12794kg (92%)
BLRZ6494577: 11111kg (92%)
IVQZ4400313: 10837kg (92%)
CWHZ7835733: 9509kg (91%)
CUEJ8620773: 13900kg (91%)
KTUZ9689936: 12552kg (90%)
FBUZ5805154: 12599kg (90%)
TCAZ5619447: 9573kg (90%)
ZIWU5392816: 13280kg (89%)
MAMJ5263402: 9120kg (89%)
SDOJ2768875: 12468kg (89%)
LEHU5045020: 11919kg (89%)
JBMJ0181874: 12659kg (88%)
BHSZ1675652: 12264kg (88%)
MTJU9888456: 12852kg (88%)
NQZJ1402107: 12819kg (88%)
